測站,測站編號,經度,緯度,地址
鞍部,466910,121.5297,25.1825,台北市北投區陽明山竹子湖路111號
台北,466920,121.5148,25.0376,台北市中正區公園路64號
竹子湖,466930,121.5445,25.162,臺北市北投區陽明山竹子湖路2號
社子,C0A980,121.4696,25.1095,台北市士林區延平北路9段212號
大直,C0A9A0,121.5428,25.078,台北市中山區北安路420號
石牌,C0A9B0,121.5138,25.1163,臺北市北投區石牌路1段139號(石牌國中內)
天母,C0A9C0,121.5371,25.1174,台北市士林區天母東路116號
士林,C0A9E0,121.503,25.0902,臺北市士林區延平北路6段308號(社子國小內)
內湖,C0A9F0,121.5754,25.0794,台北市內湖區內湖路一段520號
大屯山,C0AC40,121.5224,25.1756,臺北市北投區湖田段461-6地號
信義,C0AC70,121.5645,25.0378,臺北市信義區市府路1號
文山,C0AC80,121.5757,25.0023,臺北市文山區木柵路4段159巷14-1號
平等,C0AH40,121.577,25.1291,臺北市士林區平菁街101號
松山,C0AH70,121.5504,25.0487,臺北市松山區敦化北路1號
關渡,C1AC50,121.4693,25.1334,臺北市北投區學園路2號
南港,C0A9G0,121.6029,25.0554,臺北市南港區興南路62號
板橋,466880,121.442,24.9976,新北市板橋區大觀路二段265巷62號
淡水,466900,121.4489,25.1648,新北市淡水區中正東路42巷6號
山佳,C0A520,121.402,24.9749,新北市樹林區中山路3段5號
坪林,C0A530,121.7093,24.9382,新北市坪林區
四堵,C0A540,121.7458,24.8927,新北市坪林區碧湖
泰平,C0A550,121.8237,24.9711,新北市雙溪區泰平里8鄰大平路43號
福山,C0A560,121.5028,24.7762,新北市烏來區福山里李茂岸八號
桶後,C0A570,121.5979,24.8482,新北市烏來區后桶街49號孝義里5-6k處路旁
石碇,C0A640,121.6629,24.9938,新北市石碇區湳窟34號附近
火燒寮,C0A650,121.7428,25.0027,新北市平溪區東勢里
瑞芳,C0A660,121.8011,25.1131,新北市瑞芳區22403龍山里逢甲路360號
大坪,C0A860,121.6329,25.1659,新北市萬里區溪底里香員林6-3號
五指山,C0A870,121.6086,25.1321,新北市汐止區國軍示範公墓旁之復興廣播電台門口外
福隆,C0A880,121.942,25.0178,新北市貢寮區東北角海岸國家風景管理處之福隆遊客中心後方
雙溪,C0A890,121.8642,25.036,新北市雙溪區雙溪里社區活動中心旁花圃內
富貴角,C0A920,121.5652,25.2637,新北市石門區山溪里10鄰九芎林13號旁
三和,C0A931,121.5952,25.2331,新北市金山區三和國小兩湖分校
金山,C0A940,121.6439,25.2236,新北市金山區中興段404地號
鼻頭角,C0A950,121.9233,25.129,新北市瑞芳區鼻頭角燈塔旁
三貂角,C0A970,122.002,25.0076,新北市貢寮區三貂角燈塔旁
三峽,C0AC60,121.3697,24.939,新北市三峽區復興路238號
蘆洲,C0AD30,121.4723,25.0865,新北市蘆洲區三民路96號
土城,C0AD40,121.4451,24.9732,新北市土城區金城路一段90號
鶯歌,C0AD50,121.3462,24.9515,新北市鶯歌區尖山埔路106號
中和,C0AG90,121.4904,24.9926,新北市中和區錦和路350號
汐止,C0AH00,121.6587,25.0668,新北市汐止區大同路二段394號
永和,C0AH10,121.5081,25.0112,新北市永和區永平路205號
五分山,C0AH30,121.7807,25.0712,新北市瑞芳區靜安路四段1巷1號
林口,C0AH50,121.3808,25.0721,新北市林口區仁愛路二段173號
深坑,C0AH80,121.6283,25.0027,新北市深坑區文山路1段35號
福山動物園,C0AH90,121.5813,24.7607,新北市烏來區福山植物園內
五股,C0AI00,121.4272,25.0744,新北市五股區外寮路12號
屈尺,C0AI10,121.5447,24.9218,新北市新店區屈尺路83號
白沙灣,C0AI20,121.519,25.2831,新北市石門區德茂里下員坑33-6號
新莊,C0ACA0,121.4467,25.0514,新北市新莊區中和街193號
三芝,C0AD00,121.5019,25.2581,新北市三芝區育英路22號
八里,C0AD10,121.4039,25.1502,新北市八里區中山路二段338號
下盆,C1A630,121.5384,24.771,新北市烏來區東勢溪中游
四十份,C1A9N0,121.5932,24.9341,新北市新店區北宜路旁
